time,opening_price,closing_price,high,low,volume,opening_price_log_return,closing_price_log_return,high_log_return,low_log_return
1701309600000,37711.07576889957,37902.72188952909,37705.201166689236,37883.132605007355,202458868.47876278,-0.0019877400668282617,0.0022052732863160336,-0.00028725936197133224,0.004267713187224885
1701313200000,37883.67477361461,38054.14285632579,37838.781897767636,38054.14285632579,255626258.42017734,0.004566436251212754,0.003987030478174478,0.0035365058839301974,0.004503994629035086
1701316800000,38053.25660868667,38148.103136440535,37977.474842935546,37984.4723936303,273588015.9757302,0.0044663937269009005,0.0024660776466418318,0.0036586638760636035,-0.001832502655735274
1701320400000,37995.322166322345,38015.23007686062,37870.54322547701,37893.44387168463,220030868.8006967,-0.00152361699600423,-0.0034891643728472413,-0.0028196303878917695,-0.0023993427889385252
1701324000000,37896.38821844762,37949.36980831191,37807.77886077394,37875.02386369833,212275095.84199542,-0.0026072413816159387,-0.0017339730650829395,-0.0016587148700791306,-0.0004862183148144463
1701327600000,37875.01232254806,37913.703907639225,37787.588572815126,37798.730508466906,287954659.0884379,-0.0005642207036959713,-0.0009402704518389873,-0.0005341673471363007,-0.0020163762644970704
1701331200000,37797.91741030286,37816.521306962604,37611.44509621782,37673.813543489356,391624915.2537186,-0.0020375830350577873,-0.002566548660003713,-0.00467230913891172,-0.0033102654909859595
1701334800000,37671.304864280115,37743.34033849609,37624.12181510924,37713.14896806226,257400769.14666188,-0.00335534568911747,-0.0019370334925107111,0.00033698739922632666,0.0010435604999107122
1701338400000,37720.12618659675,37775.15629749786,37687.36302726069,37688.70664205141,149710105.5510126,0.0012951426564134047,0.0008426004833625222,0.0016794577121549417,-0.0006483216273449062
1701342000000,37685.615667397,37904.99623285741,37656.89594107311,37894.20600741729,275894074.907777,-0.0009153287471412786,0.003431284383285467,-0.0008087434468234386,0.005437733596886687
1701345600000,37891.18670180074,37918.68446499063,37837.761461914924,37881.474712617455,303840942.66456366,0.005440069834599601,0.00036105428161593953,0.004791487850788563,-0.00033602588056363985
1701349200000,37883.28597080359,37962.165396014425,37692.21497762344,37734.34881754782,453005018.2475818,-0.00020853278807800356,0.0011460318608025267,-0.0038540105877812865,-0.003891409862709059
1701352800000,37730.0706814245,37783.39526569843,37553.096113635525,37661.2807743915,586177840.2174071,-0.0040526040863197305,-0.004720288837720824,-0.003697745958875035,-0.0019382573347343213
1701356400000,37658.91998389229,37724.74717037609,37534.32399792588,37608.69800635026,427089452.32947737,-0.0018875625745745292,-0.0015534247095477754,-0.0005000069538373398,-0.0013971779306151762
1701360000000,37612.501582495104,37736.177827621046,37540.7253897952,37681.93985234731,309067026.9730035,-0.0012333607181967694,0.00030295566434386284,0.00017053313816089793,0.001945577064650458
